i_eq,i_trial,noise,n_reals,# EVALUATIONS,STARTED,FINISHED,last_pareto_expression,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,equivalent_expr,i_pareto,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,RUN COMMAND,RUN NAME,result_analysis_time
0,2,0.01,1,198029,True,True,-0.86*sin(0.23*t - 0.51),0,1,True,True,True,,True,-0.86*sin(0.23*t - 0.51),11,0.9999979557317034,True,0.999999999998318,True,python classbench_run.py -i 0 -t 2 -n 0.010000 -r 1,CR_0_2_1_0.010000,1.402371883392334
0,2,0.01,10,198902,True,True,0.85*cos(0.24*t + 1.04),0,1,True,True,True,,True,1.05*cos(1.24*t + 1.04),7,0.999419221130188,True,0.9999999999970288,True,python classbench_run.py -i 0 -t 2 -n 0.010000 -r 10,CR_0_2_10_0.010000,2.118458032608032
0,2,0.1,1,199697,True,True,0.55 - 1.01*(0.97*cos(0.34*t) - 1.0)**0.5,-0.02*cos(0.23*t + pi/3),0.98,False,False,True,,True,0.88*sin(0.23*t + 2.64),10,0.9994594482617934,True,0.999991723270623,True,python classbench_run.py -i 0 -t 2 -n 0.100000 -r 1,CR_0_2_1_0.100000,1.563849925994873
0,2,0.1,10,198960,True,True,0.83*cos(0.26*t + 0.97),0,1,True,True,True,,True,1.06*cos(1.24*t + 1.05),9,0.9985438587906222,False,0.9999999999960016,True,python classbench_run.py -i 0 -t 2 -n 0.100000 -r 10,CR_0_2_10_0.100000,3.3879387378692627
0,3,0.0,1,198183,True,True,0.93*cos(1.12*t + 1),0,1,True,True,True,,True,0.93*cos(1.12*t + 1),12,0.9999999999999992,True,0.9999999999926787,True,python classbench_run.py -i 0 -t 3 -n 0.000000 -r 1,CR_0_3_1_0.000000,2.7595629692077637
0,3,0.0,10,199185,True,True,-0.93*sin(1.12*t - 0.55),0,0.98,True,True,True,,True,0.95*cos(1.12*t + 1),5,0.9953566869405776,False,0.9999999999992776,True,python classbench_run.py -i 0 -t 3 -n 0.000000 -r 10,CR_0_3_10_0.000000,1.676113843917847
0,3,0.001,1,198240,True,True,0.93*cos(1.12*t + 1),0,1,True,True,True,,True,0.93*cos(1.12*t + 1),12,0.9999994154529646,True,0.9418879122790456,False,python classbench_run.py -i 0 -t 3 -n 0.001000 -r 1,CR_0_3_1_0.001000,2.2254538536071777
0,3,0.001,10,199277,True,True,-0.93*sin(1.12*t - 0.57),0,0.98,True,True,True,,True,0.95*cos(1.12*t + 1),3,0.9977301977396176,False,0.9999999999994474,True,python classbench_run.py -i 0 -t 3 -n 0.001000 -r 10,CR_0_3_10_0.001000,1.348790168762207
0,3,0.01,1,198415,True,True,0.93*cos(1.12*t + 1),0,1,True,True,True,,True,0.93*cos(1.12*t + 1),14,0.999998133058522,True,0.9936968890480486,False,python classbench_run.py -i 0 -t 3 -n 0.010000 -r 1,CR_0_3_1_0.010000,2.0078439712524414
0,3,0.01,10,199195,True,True,0.95*cos(1.13*t + 0.95),0,0.98,True,True,True,,True,0.95*cos(1.12*t + 1),3,0.9944827815891736,False,0.9999999999992936,True,python classbench_run.py -i 0 -t 3 -n 0.010000 -r 10,CR_0_3_10_0.010000,2.2243359088897705
0,3,0.1,1,198748,True,True,0.93*cos(1.12*t + 1),0,1,True,True,True,,True,0.93*cos(1.12*t + 1),12,0.9998868190198816,True,0.9999781400705756,True,python classbench_run.py -i 0 -t 3 -n 0.100000 -r 1,CR_0_3_1_0.100000,2.07210111618042
0,3,0.1,10,199262,True,True,-0.94*cos(1.13*t + 4.06),-0.04*cos(pi*(3*t/10 + 3/10)),0.94,False,False,True,,True,-1.04*cos(0.94*t + 4.1),3,0.9836584094674996,False,0.9999999999962492,True,python classbench_run.py -i 0 -t 3 -n 0.100000 -r 10,CR_0_3_10_0.100000,2.1402761936187744
0,4,0.0,1,199580,True,True,1.18*cos(0.91*t + 1.14),0,1,True,True,True,,True,1.18*cos(0.91*t + 1.14),12,0.999999999999999,True,0.999999999998778,True,python classbench_run.py -i 0 -t 4 -n 0.000000 -r 1,CR_0_4_1_0.000000,2.367892026901245
0,4,0.0,10,198813,True,True,1.17*cos(0.9*t + 1.19),0.14*cos(pi*(t/5 + 3/10)),1.14,False,False,True,,True,0.95*cos(0.62*t + 0.95),7,0.9880543841946352,False,0.9999999999991782,True,python classbench_run.py -i 0 -t 4 -n 0.000000 -r 10,CR_0_4_10_0.000000,1.4393808841705322
0,4,0.001,1,198050,True,True,1.18*cos(0.91*t + 1.14),0,1,True,True,True,,True,1.18*cos(0.91*t + 1.14),10,0.9999999971829606,True,0.9999999999506376,True,python classbench_run.py -i 0 -t 4 -n 0.001000 -r 1,CR_0_4_1_0.001000,5.629434108734131
0,4,0.001,10,198750,True,True,1.16*cos(0.9*t + 1.21),0,1,True,True,True,,True,1.16*cos(1.19*t + 1.07),9,0.9937375751119666,False,0.9999999999731388,True,python classbench_run.py -i 0 -t 4 -n 0.001000 -r 10,CR_0_4_10_0.001000,1.827798843383789
0,4,0.01,1,198266,True,True,1.18*cos(0.91*t + 1.14),0,1,True,True,True,,True,1.18*cos(0.91*t + 1.14),10,0.9999997173085956,True,0.9999999999489296,True,python classbench_run.py -i 0 -t 4 -n 0.010000 -r 1,CR_0_4_1_0.010000,3.281134843826294
0,4,0.01,10,198854,True,True,cos(0.92*t + 1.16) + 0.05,0.08*cos(pi*(t/5 + 3/10)),1.08,False,False,True,,True,sin(0.62*t + 2.53),5,0.9524523878442296,False,0.9996397241491896,True,python classbench_run.py -i 0 -t 4 -n 0.010000 -r 10,CR_0_4_10_0.010000,1.3696489334106443
