EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
98,PhySO,Feynman,feynman_III_19_51,98,0.1,-0.125*m*q**4/(epsilon**2*h**2*n**2),4955533,5,5,15.8,15.8,4,4,5,1.0,3.945017434939515e-06,0.00043947164715709157,0.9999990648328098,0.9999990641727807,1.0
99,PhySO,Feynman,feynman_III_21_20,99,0.1,-A_vec*q*rho_c_0/m,4953092,5,5,8.0,8.0,5,5,5,1.0,0.00010068353598930495,0.00735253084769007,0.9999990140949785,0.9999990078192642,1.0
100,PhySO,Feynman,feynman_test_1,100,0.1,0.062*Z_1**2*Z_2**2*alpha**2*c**2*hbar**2/(E_n**2*sin(theta/2)**4),4954622,5,5,24.8,24.8,0,0,0,0.0,2.5904971241983588,0.9321961313180194,0.9825702605167767,0.9820792038438771,0.2
101,PhySO,Feynman,feynman_test_2,101,0.1,k_G*m*(1.41*(E_n*L**2/(k_G**2*m) + 0.5)**0.5*cos(theta1 - theta2) + 1)/L**2,4952488,5,5,9.4,9.0,0,0,0,0.0,2.85723396632839,1.324957243295855,0.2998618419416095,0.3013672366107928,0.0
102,PhySO,Feynman,feynman_test_3,102,0.1,d*(1 - alpha**2)/(alpha*cos(theta1 - theta2) + 1),4961851,5,5,12.8,11.0,0,0,0,0.0,0.15117936626978376,0.2656171230604392,0.9565144161217337,0.9562539236998543,0.0
103,PhySO,Feynman,feynman_test_4,103,0.1,1.41*(E_n - 0.5*L**2/(m*r**2) - U)**0.5/m**0.5,4954101,5,5,19.2,17.6,0,0,0,0.0,0.008394981928513314,0.05998771364733805,0.9653519125832627,0.9658412557357039,0.0
104,PhySO,Feynman,feynman_test_5,104,0.1,6.28*d**1.5/(G**0.5*(m1 + m2)**0.5),4582318,5,4,18.8,13.8,2,2,4,0.8,0.00034091147807316434,0.015521449833009236,0.9999663558089346,0.9999662314247152,0.6
105,PhySO,Feynman,feynman_test_6,105,0.1,1.41*(E_n*L**2*epsilon**2/(Z_1**2*Z_2**2*m*q**4) + 0.5)**0.5,4970330,5,5,5.2,1.8,0,0,0,0.0,2.7911566995034214,1.6041289669650167,-0.0004328739646131119,0.0,0.0
106,PhySO,Feynman,feynman_test_7,106,0.1,2.89*(G*rho - 0.119*alpha*c**2/d**2)**0.5,4952812,5,5,18.6,17.8,0,0,0,0.0,inf,inf,0.0,0.0,0.0
107,PhySO,Feynman,feynman_test_8,107,0.1,-E_n/(E_n*(cos(theta) - 1)/(c**2*m) - 1),4958215,5,5,18.0,18.0,0,0,0,0.0,0.0016932014994761255,0.030059459945942436,0.9917466019536381,0.9916023431709996,0.2
108,PhySO,Feynman,feynman_test_9,108,0.1,6.4*G**4*m1**2*m2**2*(-m1 - m2)/(c**5*r**5),4957268,5,5,17.8,18.0,0,0,0,0.0,17731741.94733539,1614.5480044326887,0.6579097927041361,0.6349158755868656,0.0
110,PhySO,Feynman,feynman_test_11,110,0.1,8*I_0*sin(alpha/2)**2*sin(delta*n/2)**2/(alpha**2*(1 - cos(delta))),4965736,5,5,21.4,18.6,0,0,0,0.0,0.1343375296790475,0.27633184566105473,0.8738389179453898,0.8743624277965993,0.0
111,PhySO,Feynman,feynman_test_12,111,0.1,1.0*Volt*d*q/y**2 - 0.08*d*q**2*y/(epsilon*(d**2 - y**2)**2),4958517,5,5,11.2,9.6,0,0,0,0.0,0.0005044503278252296,0.016170141762148448,0.9999976339030623,0.9999976086796629,1.0
112,PhySO,Feynman,feynman_test_13,112,0.1,0.056*q/(epsilon*(0.5*d**2 - d*r*cos(alpha) + 0.5*r**2)**0.5),4951919,5,5,14.4,14.4,0,0,0,0.0,1.4351578223382287e-05,0.0021470716844758935,0.941969791085413,0.9407649069919841,0.0
113,PhySO,Feynman,feynman_test_14,113,0.1,Ef*(d**3*(alpha - 1)/(r**2*(alpha + 2)) - r)*cos(theta),4951840,5,5,14.2,12.8,0,0,0,0.0,58.53895439750361,4.7524319993299615,0.6555578698186431,0.6589540574233249,0.0
114,PhySO,Feynman,feynman_test_15,114,0.1,omega*(c**2 - v**2)**0.5/(c + v*cos(theta)),4968012,5,5,15.8,15.2,0,0,0,0.0,0.006796070456166845,0.04346708931443339,0.9956091770851274,0.9957003978401101,0.0
115,PhySO,Feynman,feynman_test_16,115,0.1,Volt*q + c**1.0*(c**2*m**2 + (A_vec*q - p)**2)**0.5,4957270,5,5,18.2,18.2,0,0,0,0.0,15.142244835542934,2.83367636480123,0.9814720419789291,0.9812503229598226,0.0
